ISO,Drivers,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BDI,Forestry,35.33,2.15,7.6,5.14,2.46,2.15,9.37,9.14,3.84,35.46,11.37,13.44,7.14,120.2,2.84
BDI,Shifting Agriculture,1057.63,811.47,1131.77,516.59,855.75,285.45,1539.14,1456.87,672.91,1171.97,798.59,709.59,1174.26,1372.28,1091.21
BDI,Urbanization,62.19,47.59,62.59,20.42,33.02,7.22,96.21,297.34,132.02,178.63,99.26,29.02,94.61,98.98,161.98
BEL,BEL,780.01,2092.23,1832.14,4646.57,2822.63,6696.02,5827.02,6971.14,4970.84,10462.06,4830.84,5512.3,3286.72,4143.77,3290.93
BEL,Forestry,779.03,2079.83,1831.26,4639.94,2812.97,6688.12,5820.68,6970.02,4960.59,10443.62,4827.91,5508.78,3286.23,4139.03,3286
BEL,Shifting Agriculture,0.98,12.4,0.88,6.64,9.66,7.91,6.34,1.12,10.25,18.44,2.93,3.51,0.49,4.73,4.93
BEN,BEN,3705.68,3449.6,3457.03,678.65,1586.44,1785.04,4627.26,475.22,4914.75,522.75,651.46,2854.9,1305.74,1349.36,595.81
BEN,Commodity-Driven Deforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Shifting Agriculture,3685.72,3434.54,3456.88,677.58,1583.92,1782.74,4624.43,468.79,4913.22,518.77,642.13,2851.46,1295.95,1345.46,594.12
BEN,Urbanization,19.96,15.06,0.15,1.07,2.52,2.29,2.83,6.42,1.53,3.98,9.33,3.44,9.79,3.9,1.68
BFA,BFA,41.52,3.1,0,2.64,10.79,2.79,2.26,3.93,3.78,6.81,10.72,0.23,0.23,0,0
BFA,Commodity-Driven Deforestation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,Forestry,7.54,0.3,0,0.45,1.58,0.3,0.3,0.3,0.15,0,1.21,0,0,0,0
BFA,Shifting Agriculture,33.98,2.79,0,2.19,9.21,2.49,1.96,3.63,3.63,6.81,9.51,0.23,0.23,0,0
BGD,BGD,4406.55,3723.8,2092.63,4088.26,3172.34,6655.08,3773.12,4297.85,5483.78,4370.37,3886.88,5230.41,6002.91,12027.35,12567.92
BGD,Forestry,3415.76,2827.36,1645.76,3423.49,2678.09,5297.64,3098.19,3738.63,4756.84,3685.54,3287.79,4586.66,5593.14,10800.39,11379.97
BGD,Shifting Agriculture,470.32,650.14,213.97,370.71,273.58,945.1,386.06,314.59,379.79,340.11,296.26,290.75,226.44,921.1,586.23
BGD,Urbanization,520.47,246.3,232.91,294.06,220.67,412.34,288.87,244.63,347.15,344.73,302.82,353,183.33,305.86,601.72
BGR,BGR,7328.63,4218.85,4675.14,7365.28,6057.66,4632.04,8766.84,5922.54,5501.36,3293.17,2975.21,9184.33,3242,5972.78,6714.38
BGR,Forestry,7185.1,3910.57,4613.65,7169.59,6001.7,4564.01,8496.72,5435.55,5383.66,3226.41,2937.65,8453.67,3148.07,5889.9,6685.03
BGR,Shifting Agriculture,0,4.95,0.11,1,0.22,0.28,0,1,0.89,0.94,4.33,1.72,3.67,3.39,1.39
BGR,Wildfire,143.53,303.32,61.39,194.69,55.73,67.76,270.13,485.99,116.81,65.82,33.22,728.93,90.26,79.49,27.96
BHS,BHS,350.01,622.72,227,472.52,1315.82,840.87,519.63,1792.9,697.15,316.11,568.41,284.61,1507.27,853.56,1029.33
BHS,Commodity-Driven Deforestation,23.1,302.24,18.81,33.33,394.18,97.26,34.06,1092.51,65.37,44.99,104.77,66.1,705.1,105.69,394.35
BHS,Shifting Agriculture,317.9,302.9,193.14,420.77,611.48,544.68,466.71,623.7,531.49,260.51,322.08,151.83,715.29,697.15,367.51
BHS,Wildfire,9.01,17.58,15.04,18.42,310.16,198.93,18.86,76.69,100.28,10.61,141.55,66.68,86.88,50.72,267.47
BIH,BIH,1239.82,484.86,206.41,2953.04,362.57,333.55,2310.22,1077.34,999.2,610,704.39,1813.51,2076.64,1285.07,336.01
BIH,Forestry,1233.25,472.64,200.42,2663.97,358.65,330.5,2079.54,1019.31,985.67,599.56,692.27,1752.99,1941.13,1222.58,335.34
BIH,Wildfire,6.57,12.21,6,289.07,3.92,3.05,230.69,58.03,13.52,10.44,12.12,60.52,135.51,62.49,0.67
BLR,BLR,18090.39,25139.55,31839.24,38300.71,35842.18,41843.1,32312.99,35589.95,35250.91,35349.37,44923.18,39185.38,27880.93,33376.57,33597.88
BLR,Forestry,18033.91,25084.58,31711.67,38195.96,35581.57,41628.27,32150.92,35466.91,35105.29,35116.26,44360.45,38991.38,27725.74,33145.16,33459.09
BLR,Wildfire,56.48,54.97,127.58,104.75,260.61,214.83,162.07,123.04,145.62,233.11,562.73,194,155.19,231.4,138.79
BLZ,BLZ,8167.24,13398.37,6800.1,4288.38,8056.12,4255.54,12236.21,8177.16,10216.55,9697.18,26322.58,11498.31,16349.22,16424.71,12206.95
BLZ,Commodity-Driven Deforestation,1516.31,3730.35,1837.5,1459.66,1587.2,1109.64,1987.45,2593.4,3069.62,3086.05,13700.4,3988.94,4523.5,7365.57,5600.23
BLZ,Shifting Agriculture,6644.26,9657.68,4955.78,2822.41,6460.78,3142.08,10233.59,5576.28,7103.97,6555.04,12495.81,6831.95,11619.47,8600.39,6380.05
BLZ,Wildfire,6.67,10.34,6.82,6.3,8.14,3.81,15.18,7.48,42.96,56.09,126.37,677.42,206.25,458.75,226.68
BOL,BOL,138125.38,176691.31,162254.91,201070.61,248388.61,214252.47,187884.52,366775.5,223029.25,447158.8,326940.81,268473.64,176706.96,252481.13,164423.08
BOL,Commodity-Driven Deforestation,83440.87,114620.39,108071.94,134678.84,165737.21,158128.19,132451.41,284182.86,155991.32,339533.73,223243.94,184180.12,115472.75,165419.74,124586.19
BOL,Forestry,3646.83,5910.05,5404.54,6225.93,11487.92,5981.19,5165.71,5954.26,2834.07,3857.79,11117.46,9963.17,4187.93,3567.67,1318.3
BOL,Shifting Agriculture,50635.75,55415.55,48459.9,59539.9,70773.32,49493.31,49678.48,75034.05,63534.77,97374.32,90382.88,72847.86,56490.17,82209.57,37768.8
BOL,Wildfire,401.94,745.31,318.52,625.94,390.16,649.79,588.91,1604.33,669.09,6392.96,2196.54,1482.49,556.11,1284.14,749.8
BRA,BRA,2732281.59,3496326.6,3237737.03,3836397.37,3474619.3,2865337.57,2609555.67,2432173.72,1806323.14,2673985,1909928.01,2885383.26,1929597,2673132.15,2210908.56
BRA,Commodity-Driven Deforestation,1822519.05,2529655.3,2408043.23,2912385.11,2548445.53,1927630.29,1708412.87,1494303.57,1067952.95,1636737.09,1210078.63,1737680.83,1036056.19,1525397.56,1370900
BRA,Forestry,340881.89,410836.19,359541.38,403754.16,402449.74,378633.21,354054.65,342544.42,271407.44,374084.82,306940.21,450670.48,287199.32,363682.72,261515.18
BRA,Shifting Agriculture,563858.2,550010.61,465058.88,515028.09,518860.36,554816.46,540783.87,588985.57,462437.02,658000.77,388942.73,690903.28,600886.19,777608.23,574074.36
BRA,Urbanization,3128.77,3893.11,3377.78,3040.9,2993.32,2636.9,3863.71,3776.17,2861.92,3276.67,2454.92,4023.72,3767.18,3920.39,2508.32
BRA,Wildfire,1893.68,1931.39,1715.76,2189.1,1870.34,1620.71,2440.57,2563.99,1663.82,1885.65,1511.52,2104.95,1688.13,2523.24,1910.7
BRB,BRB,9.59,8.84,2.25,7.57,7.64,3.3,25.63,9.37,10.12,11.77,15.36,107.47,4.65,1.87,1.95
BRB,Shifting Agriculture,9.59,8.84,2.25,7.57,7.64,3.3,25.63,9.37,10.12,11.77,15.36,107.47,4.65,1.87,1.95
BRN,BRN,1239.31,1084.86,796.26,1185.4,1276.63,1007.91,1557.31,1296.04,2161.34,957.93,2608.01,1819.9,887.25,2207.6,1718.63
BRN,Commodity-Driven Deforestation,371.48,231.74,224.62,409.49,470.03,373.01,748.26,735.56,1316.52,438.2,1524.64,755.33,278.85,732.78,658.95
BRN,Forestry,571.59,632.87,414.89,615.78,544.71,493.34,619.86,381.88,669.82,338.37,740.89,840.65,529.34,1274.44,846.42
BRN,Shifting Agriculture,296.25,220.25,156.75,160.12,261.89,141.56,189.19,178.6,175,181.36,342.48,223.92,79.06,200.38,213.27
BTN,BTN,176.1,150.73,357.36,741.72,543.01,392.25,340,581.89,779.05,3286.18,777.54,541.42,409.71,1056.48,633.58
BTN,Commodity-Driven Deforestation,74,49.33,179.6,379.01,186.67,183.47,192.94,340.81,505.46,1550.87,516.67,373.44,252.98,641.42,381.26
BTN,Forestry,86.42,76.77,72.57,209.48,136.38,112.79,85.38,146.28,152.38,494.86,193.59,124.92,105.81,328.1,153.27
BTN,Shifting Agriculture,5.85,22.98,38.36,88.37,129.05,59.72,18.58,70.08,51.41,454.72,45.57,28.97,18.7,31.47,24.04
BTN,Wildfire,9.83,1.65,66.83,64.87,90.91,36.27,43.1,24.73,69.8,785.73,21.71,14.09,32.22,55.48,75.01
BWA,BWA,7.73,12.37,0.44,3.71,11.13,8.66,5.02,1.46,2.91,5.56,0.15,0.88,3.2,2.55,0
BWA,Commodity-Driven Deforestation,3.2,1.96,0.29,0.65,0.65,4.51,1.89,0.8,1.02,0.07,0,0,1.82,0.15,0
BWA,Forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,Shifting Agriculture,4.53,10.41,0.15,3.06,10.48,4.15,3.13,0.66,1.89,5.49,0.15,0.88,1.38,2.41,0
CAF,CAF,27681.38,30389.52,12123.36,13377.49,27177.97,55112.97,35121.2,30445.2,44461.62,46287.56,45773.56,53259.32,40816.07,54567.05,26368.11
CAF,Commodity-Driven Deforestation,107.08,89.88,32.77,34.09,62.33,194.19,43.15,368.2,83.21,471.89,222.37,109.93,152.2,132.94,86.51
CAF,Forestry,185.53,21.33,1.53,128.9,181.54,53.4,572.86,0.31,673.99,250.6,73.81,569.25,86.32,129.21,38.82
CAF,Shifting Agriculture,27359.62,30261.28,12083.45,13201.68,26924.28,54852.4,34452.95,30055.52,43653.93,45440.4,45421.6,52394.16,40515.09,54226.87,26216.61
CAF,Urbanization,29.16,17.03,5.6,12.81,9.82,12.97,52.25,21.18,50.49,124.69,55.78,185.99,62.46,78.03,26.16
CAN,CAN,1338246.52,2294188.36,1596433.32,2685786.01,2904629.9,2385762.11,2099817.12,1928361.74,1533648.43,2085753.16,2142858.88,2517845.28,2785559.41,2627172.05,2724272.14
CAN,Commodity-Driven Deforestation,7815.06,8242.79,5344.91,9756.48,16271.01,11176.32,5808.52,6690.45,6397.76,6826.51,5225.07,10925.98,7547.73,8033.5,9679.44
CAN,Forestry,770594.53,917656.95,698379.11,1167651,1162297.31,1060134.52,1061905.83,785142.71,749273.52,847728.66,762719.92,977937.06,758195.62,870124.39,987448.69
CAN,Shifting Agriculture,37.75,36.39,33.25,59.5,130.35,63.35,33.98,24.23,40.66,27.96,71.19,174.96,25.97,236.35,10.47
CAN,Urbanization,3506.24,4426.94,4569.23,6664.29,5243.14,4713.18,5374.98,4272.61,3728.22,3774.47,2886.46,4605.04,2489.76,3297.16,3536.41
CAN,Wildfire,556292.93,1363825.28,888106.81,1501654.74,1720688.11,1309674.74,1026693.81,1132231.74,774208.27,1227395.56,1371956.24,1524202.24,2017300.33,1745480.65,1723597.12
CHE,CHE,999.56,775.13,360.19,3357.92,2067.71,1729.24,1614.17,2014.45,1909.55,1415.19,1723.98,1273.72,638.48,1226.8,649.94
CHE,Forestry,999.56,775.13,360.19,3357.92,2067.71,1729.24,1614.17,2014.45,1909.55,1415.19,1723.98,1273.72,638.48,1226.8,649.94
CHL,CHL,71715.2,77099.59,80968.64,83826.22,104935.39,90413.07,119044.12,120715.29,87248.47,89887.65,97469.45,171415.87,100819.52,117939.67,105403.22
CHL,Commodity-Driven Deforestation,1410.77,7704.66,2808.44,2690.62,3592.19,2877.5,5039.5,10946.47,7647.19,8727.74,9548.11,42007.39,4541.73,8459.81,8836.19
CHL,Forestry,65767.7,65354.92,73188.4,76000.31,94423.85,83684.39,106216.85,100819.14,75647.78,76024.33,83549.03,118190.18,90618.72,102497.74,91030.04
CHL,Shifting Agriculture,4459.94,2707.08,4690.34,4860.07,6602.83,3595.71,6991.61,7844.04,3594.82,4824.72,4145.39,10765.21,5398.56,6544.47,5184.83
CHL,Urbanization,12.31,42.47,39.63,43.75,68.71,39.2,113.04,105.34,157.93,142.56,32.77,85.1,111.61,367.91,196
CHL,Wildfire,64.48,1290.46,241.82,231.47,247.81,216.27,683.12,1000.31,200.75,168.3,194.15,367.99,148.89,69.75,156.17
CHN,CHN,215592.6,233935.12,253455.32,486081.06,371579.8,560318.66,637121.69,720612.29,584474.89,611827.68,584535.72,586429.19,431102.04,522958.56,484848.09
