Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bahrain,BHR,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77127659.57,74654255.32,74787234.04,83111702.13,76542553.19,77765957.45,79388297.87,80531914.89,89680851.06,86914893.62,92925531.91,92127659.57
Bangladesh,BGD,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,5818830926,6121883593,6443048454,6226259916,6820140764,6747407633,6922198850,6735747095,7427553595,7499779656,7906475405,7550043728,6741690274,6760086443,7195314898,6866954929,7442945764,7170664790,7732430457,7681024714,7564411005,7814330420,7894328627,8201397758,8603684417,8620068484,8906688470,8915152799,8876278776,8860565342,9676771717,9882805015,10112417276,10354010685,10430320612,10391467772,10699843024,11183323151,11623432672,12074601054,12966946202,13324565089,13308722029,13838921701,14527202353,15163850457,16005856277,17077047613,17844467569,18462972602,19598804914,20472199979,21089287650,21609114873,22553837295,23304514945,23953841175,24666429240
Barbados,BRB,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,81782647.06,87681176.47,89421705.88,89369823.53,96730941.18,102014294.1,84494117.65,82394117.65,85605882.35,93635294.12,93141176.47,97341176.47,86470588.24,81405882.35,74117647.06,79429411.76,76711764.71,69300000,66088235.29,65964705.88,65717647.06,77329411.76,76835294.12,66582352.94,72882352.94,75600000,68435294.12,65594117.65,63000000,58429411.76,63123529.41,59541176.47,60900000,60900000,62629411.76,58800000,55094117.65,56576470.59,58182352.94,55958823.53,54229411.76,53117647.06,
Belarus,BLR,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4474689166,4311446205,3959179068,4021901508,3382365733,3299884631,3349656587,3166900583,3119690281,2896037869,3155257978,3200092322,3292616855,3541919132,4011109889,4109685621,4353898986,4563115842,4955842494,4969886758,5088183954,5427794704,5774918728,5533049922,5685558340,5548326222,5766763349,6020474657
Belgium,BEL,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2915271725,2920258316,2997871046,3094279611,3115121284,3321875331,3085712836,3405881191,3293745615,3530291664,3434138846,3738963743,3728862623,3751366448,3418923195,3686667916,3716715664,3688330069,3150667114,3138903709,3675671750,3447436597,3115760583
Belize,BLZ,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,27075979.89,28783475.39,29759220.68,31283743.37,33966984.16,35125608.24,31710617.25,42260513.58,44577808.75,43846058.54,44344253.36,45399478.19,47496058.44,45619900.95,46301206.03,46650870.7,44360684.28,52140191.98,52178639.49,55435534.67,61655203.33,64454194.05,72747488.4,76421941.61,79255810.59,79206447.42,84984053.68,90626075.76,92694909.65,102762222.2,114609711.7,114158297.3,114777311.4,159347598.2,174429503.5,179837356.1,168222625.7,133475656.5,146672123.8,148890410.6,160621450,153645682.1,163337881.6,173214981.5,177404692.2,157510066,121611148.5,133537289.9
Benin,BEN,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,346731973.1,334074856.5,345498742.6,393460137.8,336853593.9,318637135.6,354452659.1,352908510.5,389960773.7,408483452.8,421143965.2,390886566.7,398296334.3,398296334.3,474293904.2,518510670,545109834.6,503656609.7,575163425.5,620259319.7,635927713.5,687388432.1,691986619.9,762063627.3,787080175.7,832469952.5,879118004.1,932594811.6,981527562.9,1040250172,1096880207,1163747209,1222337514,1251088147,1358903020,1355853711,1442976841,1512675345,1542950633,1616134062,1584769735,1616787485,1666883285,1746383141,1840476122,1707286636,1890664598,2028893537
Bermuda,BMU,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25110795.85,26265892.46,27290262.26,31740070.47,30918377.36,30352261.17,32487533.01,34213693.94,37784442.65,38266224.57,41618960.23,43315514.45,45663416.3,43372036.35,42971000,41236764.51,38253664.15,38685204.38,,,,
Bhutan,BTN,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,106203721,112237013.3,117642494.1,126923131.4,133544399.2,139233107.3,146218595.1,152946494.4,164773245.2,174116466.1,183259709.6,181779558.4,182842032.8,182539513.1,183056121.6,185824927.5,189630982.2,197253343,202063729.2,205240173.2,216289889.2,227763464.7,234205401,239378314.4,244514683.5,247118854.2,253365143.5,255424102.5,257233287.1,264071943.6,266322951.2,272750645.2,278876481.9,285582602.6,292329614.3,306767794,318753565.8,329572615.7
Bolivia,BOL,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,582512244,610993008.7,605081906.5,639122544.8,652126833.5,688462346.3,713705965.6,692669616.2,734742315.1,665896080.5,694964490.6,720652581.1,769441472.4,831444021.6,866742045.2,951752992.1,999340641.7,1016389033,992872417.5,1028540054,1042446736,1007155921,1063632519,912551056.4,1038002318,1107852293,1072843341,1095110507,1140177851,1122769229,1174549268,1290358740,1235710535,1286912483,1372780095,1392050301,1485377123,1553032630,1484245709,1521457550,1574333833,1628819557,1636105390,1778657158,1783064918,1871912152,1951645655,1941774511,1992551931,2065916027,2041578235,2103966027,2191268712,2293932675,2381561805,2503404827,2581848399,2778032376
Bosnia and Herzegovina,BIH,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100383964,1163314824,1188204781,1238652401,1215667366,1167464617,1165388366,1033192930,1195975486,1044589964,1140562741,1227234374,1127833683
Botswana,BWA,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,56939730.22,58342191.05,60445882.3,62549553.14,64828577.49,60224839.39,71014127.74,78328879.45,92044044.01,93019349.67,91434477.96,115085538.4,145319871.3,190610414.1,209263073.8,198668006.2,205108152.5,208456084.6,201550946.6,196087289,186810687.2,179696316.1,169954722.6,147100350.8,134568807,140567193.9,143054900.5,183300006.9,219197419.5,213013011.5,219429905.1,225428312.4,227799776.2,222212838.8,215413316.7,261612650.3,253168268.8,235606402.9,223776110,243030931.6,209457376.1,232893594.4,185184878.5,222453340.5,223504421.2,217909936.9,246952245.4,277167119.5,282637997.6,300648762,318136790.5,318693691.4,291502844.1,295390176.4,294349926.5,295288191.1,297021940.9,303426616.7
Brazil,BRA,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,21522936280,18370577786,20001145746,20979440013,21740335279,21957734279,24187900848,25148116745,25155675544,25404710058,27236391220,27900977165,31285306612,30417424456,31868152830,34911264947,37693735975,37508750574,37292287440,38548915659,42389391166,38988931668,44826204832,45203026401,46491448128,44771093627,43157956116,45504575318,45953539222,49372973226,52205099818,53486341974,53921200887,55759314291,59397742099,61015383754,64188391314,69336409959,75095729422,76593982037,77451885346,81045205719,83676744372,88505701853,85205607549,90911778081,96037971805,93077848852,1.00861E+11,1.03675E+11,1.07111E+11,1.01516E+11,1.14246E+11
British Virgin Islands,VGB,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51533773.38,52848844.88,53665639.9,53309130.91,55669013.57,56357022.37,57998313.16,58800513.38,65465933.26,67867033.37,75449798.31,80398166.48,85097689.77,89506050.61,99623469.01,111568096.8,113026549.3,101877814.4,97326292.63,100967510.1,106732746.6,100476714.3,98276494.32,105610561.1,104877154.4,109277594.4,116611661.2,112343527.7,110594866.2
Bulgaria,BGR,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,4713449939,4924153277,5209390079,4358355807,4867440677,3863892634,4715714463,4025563056,4333347287,4117770502,3965453636,4270678018,3640439056,2540302553,2780888062,3182750315,2024229168,2748768510,2805423912,2991838463,2666052976,2678913820,2818284757,2761697043,2861605494,2618535542,2605539320,1904826384,2514295016,2287064208,2104778665,2117842575,1960669523,2025244498,2122986913,1978336261,2083795183,2268517517
Burkina Faso,BFA,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,,,,,,700304436.3,708402511.2,706317816.7,666730483.2,766741138.4,760486949.8,789661873.2,743824125.8,785488656.9,734898191.8,753066261.4,813865920.6,836564669.5,838991780.2,830077118.3,889857027.2,1001558214,899839988.7,1061230853,1046732993,978396095.1,1180110034,1210311103,1329103775,1336094072,1421115552,1599254018,1536879592,1791269686,1816433871,1898384214,2108014720,2115096934,2260044104,2180587259,2403762985,2474662348,2394259395,2885960466,2604164034,2922104196,2976852583,3213360015,3306702862,3396838584,3301766083,3406842142,3306810811
Burundi,BDI,Agriculture forestry and fishing value added (constant 2010 US$),NV.AGR.TOTL.KD,,,,,,443252069.3,463010662.3,444197788,422678257.2,421489261.6,588973303.6,702338714.1,632428030.4,708460913.5,680105463.7,711462402.3,737381861.3,767585248.6,747038825.2,758089395.1,767778581.3,876091566.2,809622203.1,845179292.6,814624684.4,921573063.4,959619310.3,1009499124,1025516731,1003233537,1059076051,1081631522,1115594752,1066731702,962938707.1,897747756.5,911303747.6,941650162.4,959824010.6,949841840.9,900652855.5,869643934.4,906468036.2,874616325.4,872523033.4,815281971.4,841282717.5,762715532.9,777696521.9,768543400.3,780960656.2,770353871.5,786795131.1,853011135.4,822475951.7,797801673.1,757911672.1,872681839.6
